x,y
0.019,1.774182459084908
0.022,5.866850169076699
0.025,2.716213956372159
0.029,8.123619623814331
0.031,4.679514729903767
0.043000000000000003,1.7312181198011445
0.048,2.8838820872104787
0.073,0.6377783031033812
0.08,3.8773896047529757
0.082,1.5939627550894957
0.085,0.15336725777467008
0.098,4.500601594100023
0.099,4.064796368650218
0.116,1.2102907854468454
0.126,1.6781275706137164
0.132,0.5116785537527841
0.133,0.6809162250327762
0.15,2.538134935167247
0.152,0.5766466043739079
0.158,4.040440158855669
0.162,2.2794372983135265
0.188,3.3693263948207957
0.193,1.818010193308033
0.2,0.47252406893968724
0.209,1.2449000919967987
0.216,3.686689904734244
0.226,5.126602647150069
0.227,4.843013324506666
0.227,4.843013324506666
0.232,1.3094594187523907
0.23600000000000002,1.4028171990206668
0.23600000000000002,1.4028171990206668
0.25,3.5699869261713406
0.272,1.467384994103036
0.276,1.419635694499057
0.278,1.4929246767365825
0.28500000000000003,1.430503464724056
0.292,1.6347971361995004
0.295,1.294237128465265
0.3,4.34015887399262
0.301,1.2552138931803407
0.308,3.859218879679524
0.309,7.314497927671994
0.315,0.5643136940283053
0.316,3.309351855841605
0.334,1.3791848156020199
0.335,1.633480816379605
0.34600000000000003,5.821209737718221
0.34900000000000003,2.4324268048795057
0.352,3.1962417856860412
0.355,2.7314508321723214
0.358,1.4360047165495227
0.362,0.2995189277919046
0.367,1.4334332843404987
0.372,2.563864455688343
0.377,1.3198784586862151
0.377,1.3198784586862151
0.383,2.917015970033092
0.41000000000000003,2.6499253913545484
0.41100000000000003,2.015949530953105
0.422,0.7412749097361293
0.428,5.817688521544471
0.437,8.123006338532296
0.44,2.4035552167198144
0.443,1.145963194749357
0.447,1.0444838529095173
0.462,8.824684587558048
0.463,3.5265838796332796
0.47900000000000004,0.7610074282691841
0.496,0.7507870137679036
0.506,0.15022525952249577
0.508,4.221000649609767
0.51,2.963290288385176
0.519,4.146985629723968
0.52,3.238299099454806
0.533,9.289857550577782
0.536,1.4444311687387188
0.54,6.234551901795536
0.552,1.4169191449766467
0.5670000000000001,3.3282959128562455
0.5690000000000001,5.571710859205104
0.5720000000000001,2.175152609329592
0.579,0.5226043766617898
0.579,0.5226043766617898
0.613,0.40518655792408853
0.625,2.1829189798429325
0.642,0.6418017836074836
